site,habitat,order_num,order,abu,rep,date,notes,Site Code,Sample  weight (g),Replication (Rep out of 3),Date,Priority
HH05,wetland,11,Archeria = 11,1,1,5/25/2023,,,,,,
HH05,wetland,12,Oppliones = 12,3,1,5/25/2023,,,,,,
HH05,wetland,13,UnID = 13,1,1,5/25/2023,,,,,,
HH05,wetland,1,hymenoptera = 1,2,2,6/16/2023,,,,,,
HH05,wetland,2,orthoptera = 2,4,2,6/16/2023,,,,,,
HH05,wetland,3,coleoptera = 3,7,2,6/16/2023,,,,,,
HH05,wetland,4,areinada = 4,13,2,6/16/2023,,,,,,
HH05,wetland,5,lepidoptera = 5,,2,6/16/2023,,,,,,
HH05,wetland,6,dipteran,10,2,6/16/2023,,,,,,
HH05,wetland,7,odonata = 7,,2,6/16/2023,,,,,,
HH05,wetland,8,mantodea = 8,2,2,6/16/2023,,,,,,
HH05,wetland,9,phasmotodea = 9,,2,6/16/2023,,,,,,
HH05,wetland,10,hemiptera = 10,3,2,6/16/2023,,,,,,
HH05,wetland,11,Archeria = 11,,2,6/16/2023,,,,,,
HH05,wetland,12,Oppliones = 12,1,2,6/16/2023,,,,,,
HH05,wetland,13,UnID = 13,9,2,6/16/2023,,,,,,
HH07,wetland,1,hymenoptera = 1,13,1,5/25/2023,,HH43,,,,Medium
HH07,wetland,2,orthoptera = 2,1,1,5/25/2023,,HH43,,,,Medium
HH07,wetland,3,coleoptera = 3,43,1,5/25/2023,,HH43,,,,Medium
HH07,wetland,4,areinada = 4,20,1,5/25/2023,,HH45,,,,Medium
HH07,wetland,5,lepidoptera = 5,1,1,5/25/2023,,HH45,,,,Medium
HH07,wetland,6,dipteran,20,1,5/25/2023,,HH45,,,,Medium
HH07,wetland,7,odonata = 7,,1,5/25/2023,,HH46,0.14,1,,Medium
HH07,wetland,8,mantodea = 8,,1,5/25/2023,,HH46,,,,Medium
HH07,wetland,9,phasmotodea = 9,,1,5/25/2023,,,,,,Medium
HH07,wetland,10,Hemiptera = 10,,1,5/25/2023,,,,,,Medium
HH07,wetland,11,Archeria = 11,,1,5/25/2023,,,,,,Medium
HH07,wetland,12,Oppliones = 12,,1,5/25/2023,,HH07,0.25,1,,Medium
HH07,wetland,13,UnID = 13,8,1,5/25/2023,,,,,,Medium
HH07,wetland,1,hymenoptera = 1,2,2,6/26/2023,Believed to be hho07 R2 but sample bag appears to be marked HH09 which does not exist ,,,,,
HH07,wetland,2,orthoptera = 2,3,2,6/26/2023,,,,,,
HH07,wetland,3,coleoptera = 3,2,2,6/26/2023,,,,,,
HH07,wetland,4,areinada = 4,9,2,6/26/2023,,,,,,
HH07,wetland,5,lepidoptera = 5,,2,6/26/2023,,,,,,
HH07,wetland,6,dipteran,5,2,6/26/2023,,,,,,
HH07,wetland,7,odonata = 7,,2,6/26/2023,,,,,,
HH07,wetland,8,mantodea = 8,1,2,6/26/2023,,,,,,
HH07,wetland,9,phasmotodea = 9,,2,6/26/2023,,,,,,
HH07,wetland,10,Hemiptera = 10,30,2,6/26/2023,,,,,,
HH07,wetland,11,Archeria = 11,1,2,6/26/2023,,,,,,
HH07,wetland,12,Oppliones = 12,,2,6/26/2023,,,,,,
HH07,wetland,13,UnID = 13,,2,6/26/2023,Not listed,,,,,High
HH13,wetland,1,hymenoptera = 1,4,2,6/13/2023,,HH46,,,,Medium
HH13,wetland,2,orthoptera = 2,3,2,6/13/2023,,HH48,0.26,1,,Medium
HH13,wetland,3,coleoptera = 3,3,2,6/13/2023,,HH48,,,,Medium
HH13,wetland,4,areinada = 4,12,2,6/13/2023,,HH48,,,,Medium
HH13,wetland,5,lepidoptera = 5,,2,6/13/2023,,HH49,0.73,1,,Medium
HH13,wetland,6,dipteran,8,2,6/13/2023,,HH49,,,,Medium
HH13,wetland,7,odonata = 7,4,2,6/13/2023,,HH49,,,,Medium
HH13,wetland,8,mantodea = 8,,2,6/13/2023,,HH50,0.51,1,,Medium
HH13,wetland,9,phasmotodea = 9,,2,6/13/2023,,HH50,,,,Medium
HH13,wetland,10,Hemiptera = 10,2,2,6/13/2023,,HH50,,,,Medium
HH13,wetland,11,Archeria = 11,,2,6/13/2023,,UP01a,0.53,1,,Medium
HH13,wetland,12,Oppliones = 12,,2,6/13/2023,,UP01a,,,,Medium
HH14,wetland,1,hymenoptera = 1,1,1,,,UP01a,,,,Low
HH14,wetland,2,orthoptera = 2,,1,,,UP02,3.48,1,,Low
HH14,wetland,3,coleoptera = 3,2,1,,,UP02,,,,Low
HH14,wetland,4,areinada = 4,5,1,,,UP02,,,,Low
HH14,wetland,5,lepidoptera = 5,,1,,,UP03,1.48,1,,Low
HH14,wetland,6,dipteran = 6,,1,,,UP03,,,,Low
HH14,wetland,7,odonata = 7,,1,,,UP03,,,,Low
HH14,wetland,8,mantodea = 8,,1,,,UP03a,0.78,1,,Low
HH14,wetland,9,phasmotodea = 9,,1,,,UP03a,,,,Low
HH14,wetland,10,Hemiptera = 10,1,1,,,UP03a,,,,Low
HH14,wetland,11,Archeria = 11,,1,,,UP04,0.59,1,,Low
HH14,wetland,12,Oppliones = 12,,1,,,UP04,,,,Low
HH14,wetland,13,UnID,2,1,,,UP04,,,,Low
HH14,wetland,1,hymenoptera = 1,3,2,6/14/2023,,,,,,Low
HH14,wetland,2,orthoptera = 2,8,2,6/14/2023,,,,,,Low
HH14,wetland,3,coleoptera = 3,47,2,6/14/2023,,,,,,Low
HH14,wetland,4,areinada = 4,36,2,6/14/2023,,,,,,Low
HH14,wetland,5,lepidoptera = 5,1,2,6/14/2023,,,,,,Low
HH14,wetland,6,dipteran = 6,25,2,6/14/2023,,,,,,Low
HH14,wetland,7,odonata = 7,10,2,6/14/2023,,,,,,Low
HH14,wetland,8,mantodea = 8,,2,6/14/2023,,,,,,Low
HH14,wetland,9,phasmotodea = 9,,2,6/14/2023,,,,,,Low
HH14,wetland,10,Hemiptera = 10,6,2,6/14/2023,,,,,,Low
HH14,wetland,11,Archeria = 11,,2,6/14/2023,,,,,,Low
HH14,wetland,12,Oppliones = 12,2,2,6/14/2023,,,,,,Low
HH14,wetland,13,UnID,,2,6/14/2023,,,,,,Low
HH17,wetland,1,hymenoptera = 1,1,1,,,UP05(a),0.89,1,,Low
HH17,wetland,2,orthoptera = 2,1,1,,,UP05(a),0.72,2,,Low
HH17,wetland,3,coleoptera = 3,,1,,,UP05(a),,,,Low
HH17,wetland,4,areinada = 4,2,1,,,UP7a,0.77,1,,Low
HH17,wetland,5,lepidoptera = 5,,1,,,UP7a,1.13,2,,Low
HH17,wetland,6,dipteran = 6,7,1,,,UP7a,,,,Low
HH17,wetland,7,odonata = 7,1,1,,,UP31a,1.11,1,,Low
HH17,wetland,8,mantodea = 8,1,1,,,UP33a,,,,Low
HH17,wetland,9,phasmotodea = 9,,1,,,UP43a,,,,Low
HH17,wetland,10,Hemiptera = 10,,1,,,UP43a,,,,Low
HH17,wetland,11,Archeria = 11,,1,,,UP43a,,,,Low
HH17,wetland,12,Oppliones = 12,,1,,,UP46a,0.5,1,,Low
HH17,wetland,13,UnID,,1,,,UP46a,1.19,2,,Low
HH17,wetland,1,hymenoptera = 1,5,2,6/13/2023,,UP46a,,,,Low
HH17,wetland,2,orthoptera = 2,1,2,6/13/2023,,UP48a,2.7,1,,Low
HH17,wetland,3,coleoptera = 3,44,2,6/13/2023,,UP48a,,,,Low
HH17,wetland,4,areinada = 4,13,2,6/13/2023,,UP48a,,,,Low
HH17,wetland,5,lepidoptera = 5,,2,6/13/2023,,UP50a,2.7,1,,Low
HH17,wetland,6,dipteran,11,2,6/13/2023,,UP50a,,,,Low
HH17,wetland,7,odonata = 7,6,2,6/13/2023,,UP50a,,,,Low
HH17,wetland,8,mantodea = 8,1,2,6/13/2023,,,,,,Low
HH17,wetland,9,phasmotodea = 9,,2,6/13/2023,,,,,,Low
HH17,wetland,10,Hemiptera = 10,8,2,6/13/2023,,,,,,Low
HH17,wetland,11,Archeria = 11,,2,6/13/2023,,,,,,Low
HH17,wetland,12,Oppliones = 12,2,2,6/13/2023,,,,,,Low
HH17,wetland,13,UnID = 13,4,2,6/13/2023,,,,,,Low
HH22,wetland,1,hymenoptera = 1,5,1,,,,,,,Medium
HH22,wetland,2,orthoptera = 2,5,1,,,,,,,Medium
HH22,wetland,3,coleoptera = 3,7,1,,,,,,,Medium
HH22,wetland,4,areinada = 4,,1,,,,,,,Medium
HH22,wetland,5,lepidoptera = 5,,1,,,,,,,Medium
HH22,wetland,6,dipteran,5,1,,,,,,,Medium
HH22,wetland,7,odonata = 7,2,1,,,,,,,Medium
HH22,wetland,8,mantodea = 8,,1,,,,,,,Medium
HH22,wetland,9,phasmotodea = 9,,1,,,,,,,Medium
HH22,wetland,10,hemiptera = 10,,1,,,,,,,Medium
HH22,wetland,11,Archeria = 11,,1,,,,,,,Medium
HH22,wetland,12,Oppliones = 12,3,1,,,,,,,Medium
HH22,wetland,13,UnID = 13,2,1,,,,,,,Medium
HH30,wetland,1,hymenoptera = 1,,1,,,,,,,Low
HH30,wetland,2,orthoptera = 2,,1,,,,,,,Low
HH30,wetland,3,coleoptera = 3,2,1,,,,,,,Low
HH30,wetland,4,areinada = 4,7,1,,,,,,,Low
HH30,wetland,5,lepidoptera = 5,,1,,,,,,,Low
HH30,wetland,6,dipteran,14,1,,,,,,,Low
HH30,wetland,7,odonata = 7,,1,,,,,,,Low
HH30,wetland,8,mantodea = 8,,1,,,,,,,Low
HH30,wetland,9,phasmotodea = 9,,1,,,,,,,Low
HH30,wetland,10,hemiptera = 10,,1,,,,,,,Low
HH30,wetland,11,Archeria = 11,,1,,,,,,,Low
HH30,wetland,12,Oppliones = 12,,1,,,,,,,Low
HH30,wetland,13,UnID = 13,,1,,,,,,,Low
HH30,wetland,1,hymenoptera = 1,4,2,6/14/2023,,,,,,Low
HH30,wetland,2,orthoptera = 2,2,2,6/14/2023,,,,,,Low
HH30,wetland,3,coleoptera = 3,14,2,6/14/2023,,,,,,Low
HH30,wetland,4,areinada = 4,4,2,6/14/2023,,,,,,Low
HH30,wetland,5,lepidoptera = 5,1,2,6/14/2023,,,,,,Low
HH30,wetland,6,dipteran,7,2,6/14/2023,,,,,,Low
HH30,wetland,7,odonata = 7,,2,6/14/2023,,,,,,Low
HH30,wetland,8,mantodea = 8,,2,6/14/2023,,,,,,Low
HH30,wetland,9,phasmotodea = 9,,2,6/14/2023,,,,,,Low
HH30,wetland,10,hemiptera = 10,2,2,6/14/2023,,,,,,Low
HH30,wetland,11,Archeria = 11,,2,6/14/2023,,,,,,Low
HH30,wetland,12,Oppliones = 12,,2,6/14/2023,,,,,,Low
HH30,wetland,13,UnID = 13,6,2,6/14/2023,,,,,,Low
hh31,wetland,1,hymenoptera = 1,,1,5/30/2023,,,,,,Low
HH31,wetland,2,orthoptera = 2,,1,5/30/2023,,,,,,Low
HH31,wetland,3,coleoptera = 3,,1,5/30/2023,,,,,,Low
HH31,wetland,4,areinada = 4,,1,5/30/2023,,,,,,Low
HH31,wetland,5,lepidoptera = 5,,1,5/30/2023,,,,,,Low
HH31,wetland,6,dipteran,,1,5/30/2023,,,,,,Low
HH31,wetland,7,odonata = 7,,1,5/30/2023,,,,,,Low
HH31,wetland,8,mantodea = 8,,1,5/30/2023,,,,,,Low
HH31,wetland,9,phasmotodea = 9,,1,5/30/2023,,,,,,Low
HH31,wetland,10,hemiptera = 10,,1,5/30/2023,,,,,,Low
HH31,wetland,11,Archeria = 11,,1,5/30/2023,,,,,,Low
HH31,wetland,12,Oppliones = 12,,1,5/30/2023,,,,,,Low
HH31,wetland,13,UNID= 13,,1,5/30/2023,,,,,,
HH31,wetland,1,hymenoptera = 1,3,2,6/14/2023,,,,,,Low
HH31,wetland,2,orthoptera = 2,4,2,6/14/2023,,,,,,Low
HH31,wetland,3,coleoptera = 3,14,2,6/14/2023,,,,,,Low
HH31,wetland,4,areinada = 4,16,2,6/14/2023,,,,,,Low
HH31,wetland,5,lepidoptera = 5,1,2,6/14/2023,,,,,,Low
HH31,wetland,6,dipteran,5,2,6/14/2023,,,,,,Low
HH31,wetland,7,odonata = 7,,2,6/14/2023,,,,,,Low
HH31,wetland,8,mantodea = 8,,2,6/14/2023,,,,,,Low
HH31,wetland,9,phasmotodea = 9,,2,6/14/2023,,,,,,Low
HH31,wetland,10,hemiptera = 10,3,2,6/14/2023,,,,,,Low
HH31,wetland,11,Archeria = 11,1,2,6/14/2023,,,,,,Low
HH31,wetland,12,Oppliones = 12,1,2,6/14/2023,,,,,,Low
HH31,wetland,13,UnID = 13,2,2,6/14/2023,,,,,,Low
HH33,wetland,1,hymenoptera = 1,,1,5/30/2023,not listed,,,,,
HH33,wetland,2,orthoptera = 2,,1,5/30/2023,not listed,,,,,
HH33,wetland,3,coleoptera = 3,,1,5/30/2023,not listed,,,,,
HH33,wetland,4,areinada = 4,,1,5/30/2023,not listed,,,,,
HH33,wetland,5,lepidoptera = 5,,1,5/30/2023,not listed,,,,,
HH33,wetland,6,dipteran,,1,5/30/2023,not listed,,,,,
HH33,wetland,7,odonata = 7,,1,5/30/2023,not listed,,,,,
HH33,wetland,8,mantodea = 8,,1,5/30/2023,not listed,,,,,
HH33,wetland,9,phasmotodea = 9,,1,5/30/2023,not listed,,,,,
HH33,wetland,10,hemiptera = 10,,1,5/30/2023,not listed,,,,,
HH33,wetland,11,Archeria = 11,,1,5/30/2023,not listed,,,,,
HH33,wetland,12,Oppliones = 12,,1,5/30/2023,not listed,,,,,
HH33,wetland,13,UnID = 13,,1,5/30/2023,not listed,,,,,
HH33,wetland,1,hymenoptera = 1,,2,,,,,,,Low
HH33,wetland,2,orthoptera = 2,,2,,,,,,,Low
HH33,wetland,3,coleoptera = 3,,2,,,,,,,Low
HH33,wetland,4,areinada = 4,,2,,,,,,,Low
HH33,wetland,5,lepidoptera = 5,,2,,,,,,,Low
HH33,wetland,6,dipteran,,2,,,,,,,Low
HH33,wetland,7,odonata = 7,,2,,,,,,,Low
HH33,wetland,8,mantodea = 8,,2,,,,,,,Low
HH33,wetland,9,phasmotodea = 9,,2,,,,,,,Low
HH33,wetland,10,hemiptera = 10,,2,,,,,,,Low
HH33,wetland,11,Archeria = 11,,2,,,,,,,Low
HH33,wetland,12,Oppliones = 12,,2,,,,,,,Low
HH33,wetland,13,UnID = 13,,2,,,,,,,Low
HH33,wetland,1,hymenoptera = 1,15,2,6/14/2023,,,,,,Low
HH33,wetland,2,orthoptera = 2,7,2,6/14/2023,,,,,,Low
HH33,wetland,3,coleoptera = 3,19,2,6/14/2023,,,,,,Low
HH33,wetland,4,areinada = 4,11,2,6/14/2023,,,,,,Low
HH33,wetland,5,lepidoptera = 5,,2,6/14/2023,,,,,,Low
HH33,wetland,6,dipteran,12,2,6/14/2023,,,,,,Low
HH33,wetland,7,odonata = 7,1,2,6/14/2023,,,,,,Low
HH33,wetland,8,mantodea = 8,,2,6/14/2023,,,,,,Low
HH33,wetland,9,phasmotodea = 9,,2,6/14/2023,,,,,,Low
HH33,wetland,10,hemiptera = 10,2,2,6/14/2023,,,,,,Low
HH33,wetland,11,Archeria = 11,,2,6/14/2023,,,,,,Low
HH33,wetland,12,Oppliones = 12,1,2,6/14/2023,,,,,,Low
HH33,wetland,13,UnID = 13,2,2,6/14/2023,,,,,,Low
HH34,wetland,1,hymenoptera = 1,,1,5/30/2023,Not listed/weighed,,,,,Low
HH34,wetland,2,orthoptera = 2,,1,5/30/2023,Not listed,,,,,Low
HH34,wetland,3,coleoptera = 3,,1,5/30/2023,Not listed,,,,,Low
HH34,wetland,4,areinada = 4,,1,5/30/2023,Not listed,,,,,Low
HH34,wetland,5,lepidoptera = 5,,1,5/30/2023,Not listed,,,,,Low
HH34,wetland,6,dipteran,,1,5/30/2023,Not listed,,,,,Low
HH34,wetland,7,odonata = 7,,1,5/30/2023,Not listed,,,,,Low
HH34,wetland,8,mantodea = 8,,1,5/30/2023,Not listed,,,,,Low
HH34,wetland,9,phasmotodea = 9,,1,5/30/2023,Not listed,,,,,Low
HH34,wetland,10,hemiptera = 10,,1,5/30/2023,Not listed,,,,,Low
HH34,wetland,11,Archeria = 11,,1,5/30/2023,Not listed,,,,,Low
HH34,wetland,12,Oppliones = 12,,1,5/30/2023,Not listed,,,,,Low
HH34,wetland,13,UnID = 13,,1,5/30/2023,Not listed,,,,,Low
HH34,wetland,1,hymenoptera = 1,1,2,6/13/2023,,,,,,Low
HH34,wetland,2,orthoptera = 2,2,2,6/13/2023,,,,,,Low
HH34,wetland,3,coleoptera = 3,4,2,6/13/2023,,,,,,Low
HH34,wetland,4,areinada = 4,11,2,6/13/2023,,,,,,Low
HH34,wetland,5,lepidoptera = 5,,2,6/13/2023,,,,,,Low
HH34,wetland,6,dipteran,25,2,6/13/2023,,,,,,Low
HH34,wetland,7,odonata = 7,3,2,6/13/2023,,,,,,Low
HH34,wetland,8,mantodea = 8,3,2,6/13/2023,,,,,,Low
HH34,wetland,9,phasmotodea = 9,,2,6/13/2023,,,,,,Low
HH34,wetland,10,hemiptera = 10,6,2,6/13/2023,,,,,,Low
HH34,wetland,11,Archeria = 11,,2,6/13/2023,,,,,,Low
HH34,wetland,12,Oppliones = 12,,2,6/13/2023,,,,,,Low
HH34,wetland,13,UnID = 13,7,2,6/13/2023,,,,,,Low
HH34r,wetland,1,hymenoptera = 1,,1,,,,,,,
HH34r,wetland,2,orthoptera = 2,,1,,,,,,,High
HH34r,wetland,3,coleoptera = 3,,1,,,,,,,High
HH34r,wetland,4,areinada = 4,,1,,,,,,,High
HH34r,wetland,5,lepidoptera = 5,,1,,,,,,,High
HH34r,wetland,6,dipteran,,1,,,,,,,High
HH34r,wetland,7,odonata = 7,,1,,,,,,,High
HH34r,wetland,8,mantodea = 8,,1,,,,,,,High
HH34r,wetland,9,phasmotodea = 9,,1,,,,,,,High
HH34r,wetland,10,hemiptera = 10,,1,,,,,,,High
HH34r,wetland,11,Archeria = 11,,1,,,,,,,High
HH34r,wetland,12,Oppliones = 12,,1,,,,,,,High
HH34r,wetland,13,UnID = 13,,1,,,,,,,High
HH34r,wetland,1,hymenoptera = 1,1,2,,,,,,,
HH34r,wetland,2,orthoptera = 2,3,2,,,,,,,
HH34r,wetland,3,coleoptera = 3,4,2,,,,,,,
HH34r,wetland,4,areinada = 4,6,2,,,,,,,
HH34r,wetland,5,lepidoptera = 5,0,2,,,,,,,
HH34r,wetland,6,dipteran,4,2,,,,,,,
HH34r,wetland,7,odonata = 7,1,2,,,,,,,
HH34r,wetland,8,mantodea = 8,0,2,,,,,,,
HH34r,wetland,9,phasmotodea = 9,0,2,,,,,,,
HH34r,wetland,10,hemiptera = 10,3,2,,,,,,,
HH34r,wetland,11,Archeria = 11,1,2,,,,,,,
HH34r,wetland,12,Oppliones = 12,2,2,,,,,,,
HH34r,#REF!,13,UnID = 13,4,2,,,,,,,
HH43,wetland,1,hymenoptera = 1,1,1,,,,,,,Medium
HH43,wetland,2,orthoptera = 2,4,1,,,,,,,Medium
HH43,wetland,3,coleoptera = 3,7,1,,,,,,,Medium
HH43,wetland,4,areinada = 4,10,1,,,,,,,Medium
HH43,wetland,5,lepidoptera = 5,,1,,,,,,,Medium
HH43,wetland,6,dipteran,20,1,,,,,,,Medium
HH43,wetland,7,odonata = 7,,1,,,,,,,Medium
HH43,wetland,8,mantodea = 8,1,1,,,,,,,Medium
HH43,wetland,9,phasmotodea = 9,,1,,,,,,,Medium
HH43,wetland,10,hemiptera = 10,,1,,,,,,,Medium
HH43,wetland,11,Archeria = 11,,1,,,,,,,Medium
HH43,wetland,12,Oppliones = 12,,1,,,,,,,Medium
HH43,wetland,13,UnID = 13,,1,,,,,,,Medium
HH45,wetland,1,hymenoptera = 1,6,1,,,,,,,Low
HH45,wetland,2,orthoptera = 2,3,1,,,,,,,Low
HH45,wetland,3,coleoptera = 3,1,1,,,,,,,Low
